system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,23.895946393694203,1544.569586614173,42.72457244000003,27.690000000000055,-0.0355225585379783,0.3451038575667656,-0.3834884785594384,"{""type"":""Point"",""coordinates"":[73.93511259262438,18.49650841081361]}"
1,23.026582336425804,1260.3747047244094,54.61244599999998,26.730000000000018,0.17033171822586657,0.22870285188592457,-0.37322640345465763,"{""type"":""Point"",""coordinates"":[73.95487690033278,18.419158720036638]}"
2,23.796166992187523,1687.2403543307087,42.78951482000002,26.940000000000055,0.0654462242562929,0.12383048981838195,-0.20206033848417954,"{""type"":""Point"",""coordinates"":[73.83834843533386,18.456277368060643]}"
3,23.026582336425804,1933.0134842519683,52.92052610000002,26.910000000000025,0.0961001531117716,0.15889145496535798,-0.2956364575264653,"{""type"":""Point"",""coordinates"":[73.95430487833671,18.433197421076038]}"
4,24.046257647346067,1296.176377952756,40.94036600000004,26.890000000000043,-0.2012121212121212,0.6839422259983008,-0.6020045263498222,"{""type"":""Point"",""coordinates"":[73.84930746867454,18.61039234620658]}"
5,24.039227294921886,1552.6399606299212,48.90435260000004,27.250000000000057,0.15022727272727274,0.1229914401561796,-0.23582878862997853,"{""type"":""Point"",""coordinates"":[73.93201924962726,18.626667310890266]}"
6,24.046257647346067,1298.4278543307087,45.11376842000004,27.690000000000055,0.019772930220691414,0.36410438487484464,-0.39810771470160117,"{""type"":""Point"",""coordinates"":[73.84779740936382,18.55769078976109]}"
7,24.046257647346067,1409.278248031496,41.69916644,27.24000000000001,-0.0879623902016578,0.39720368605020656,-0.4222869157366974,"{""type"":""Point"",""coordinates"":[73.77077793151778,18.604044922171905]}"
8,24.046257647346067,1557.3072834645668,44.932613360000005,26.78000000000003,0.048677743973788906,0.18444055944055945,-0.28537549407114626,"{""type"":""Point"",""coordinates"":[73.76943762564838,18.575920580977808]}"
9,23.796166992187523,1379.9898622047244,44.13279668000001,27.52000000000004,0.04927672586146066,0.35455764075067026,-0.4214876033057851,"{""type"":""Point"",""coordinates"":[73.8371868686424,18.54972824432011]}"
10,23.895946393694203,1351.455413385827,40.14054931999999,27.690000000000055,-0.03442899831103027,0.35247154747749276,-0.37441740031071985,"{""type"":""Point"",""coordinates"":[73.93000662864004,18.49968803692505]}"
11,24.039227294921886,1288.3683070866139,39.38516690000006,28.010000000000048,-0.14211822660098522,0.6109084592669793,-0.5761386811692726,"{""type"":""Point"",""coordinates"":[73.89759181173406,18.56362144306858]}"
12,24.159700012207054,1636.1271653543304,47.728553720000036,27.250000000000057,0.051614423756775864,0.12245467224546723,-0.21828640629730547,"{""type"":""Point"",""coordinates"":[73.96911030110441,18.52046240078435]}"
13,24.046257647346067,1485.6079724409449,44.901851179999994,27.450000000000045,0.03945795137504982,0.16256632899179932,-0.20159547947482134,"{""type"":""Point"",""coordinates"":[73.79296191138954,18.61183279756665]}"
14,23.043812561035168,1367.996751968504,45.879404900000054,25.57000000000005,0.11363897506606917,0.2716782063963073,-0.4399850662684338,"{""type"":""Point"",""coordinates"":[73.81266126708418,18.41685459498961]}"
15,22.913253784179688,1451.0651574803148,47.19876062000003,26.690000000000055,-0.09094903339191564,0.5341365461847389,-0.5405615014735536,"{""type"":""Point"",""coordinates"":[73.94200456616339,18.441295692608243]}"
16,24.039227294921886,1361.8102362204725,50.155347920000054,26.640000000000043,0.1288358499756454,0.2109004739336493,-0.32949265935699684,"{""type"":""Point"",""coordinates"":[73.86958115780389,18.59774080221811]}"
17,24.046257647346067,1349.5115157480313,47.33206340000004,26.940000000000055,0.025825825825825825,0.38066053796390875,-0.4258087201125176,"{""type"":""Point"",""coordinates"":[73.76657780333186,18.627264163233786]}"
18,23.043812561035168,302.41062992125984,30.38893826000003,24.99000000000001,0.0029585798816568047,-0.37937384898710863,0.5790131168019987,"{""type"":""Point"",""coordinates"":[73.761374721945,18.429735555729163]}"
19,23.796166992187523,1009.7132874015748,38.298236540000005,26.590000000000032,0.011757328734911428,0.4144043078303792,-0.430776214253291,"{""type"":""Point"",""coordinates"":[73.80506258312471,18.46095592610635]}"
20,24.27015753851998,1451.328937007874,47.87211056000001,27.730000000000018,0.0817011751538892,0.077125041023958,-0.14136671883150756,"{""type"":""Point"",""coordinates"":[73.95532478151804,18.572425811097652]}"
21,24.046257647346067,1143.0188976377954,42.38960648,26.930000000000007,0.10663360198388097,0.17225950782997762,-0.2783322244400089,"{""type"":""Point"",""coordinates"":[73.79152188904564,18.587024018448897]}"
22,24.039227294921886,1069.5430118110237,45.770028260000004,28.310000000000002,-0.011505428617728084,0.33690297708288713,-0.3519601472817847,"{""type"":""Point"",""coordinates"":[73.9048475482248,18.552052125889237]}"
23,24.039227294921886,1387.1365157480313,44.354967980000026,27.510000000000048,0.01154382849169098,0.25941490221432034,-0.3476305776547907,"{""type"":""Point"",""coordinates"":[73.9001531334492,18.573742088412914]}"
