system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,17.668430283490352,1770.0001968503939,40.72503074000002,27.610000000000014,-0.061052631578947365,0.5323030149480619,-0.5074775672981057,"{""type"":""Point"",""coordinates"":[77.29371914798001,28.590019428919664]}"
1,17.66207034462377,2089.948031496063,44.18406698000001,27.80000000000001,-0.012201989862962268,0.1931843328169949,-0.2316126084970306,"{""type"":""Point"",""coordinates"":[77.31505437209246,28.51266399028736]}"
2,17.612781839522142,1248.0887795275592,38.02479493999999,27.950000000000045,-0.24625060474117078,0.7833160263066805,-0.7087893864013267,"{""type"":""Point"",""coordinates"":[77.18919995158801,28.549797953527985]}"
3,17.66207034462377,2136.9805118110235,49.564030460000026,26.77000000000004,0.10874785591766724,0.09759188846641319,-0.21260210035005833,"{""type"":""Point"",""coordinates"":[77.31444309121386,28.52670287111092]}"
4,17.658335737748587,1527.8072834645668,40.37297468000003,28.560000000000002,-0.14491449144914492,0.4599713055954089,-0.44340425531914895,"{""type"":""Point"",""coordinates"":[77.20102930208826,28.703913364942537]}"
5,17.544119905170646,1836.3584645669291,46.306657400000006,29.480000000000018,0.1285591026747196,0.09812449035063876,-0.149032992036405,"{""type"":""Point"",""coordinates"":[77.29035993273004,28.720179110614904]}"
6,17.658335737748587,1642.2610236220473,43.11080870000001,29.480000000000018,0.05818095464260271,0.13671539122957868,-0.2021824795392543,"{""type"":""Point"",""coordinates"":[77.19942394563327,28.651211781998015]}"
7,17.721085562357132,1410.6557086614173,42.93648968000002,29.250000000000057,-0.03009859885832901,0.2651370299553856,-0.31653125518156194,"{""type"":""Point"",""coordinates"":[77.1162182696939,28.697553817229508]}"
8,17.721085562357132,1417.5513779527557,43.51071704000003,29.350000000000023,0.022211130521587224,0.28311773374815785,-0.33197348291687917,"{""type"":""Point"",""coordinates"":[77.11476794663827,28.66942909215195]}"
9,17.681003824869833,1484.2935039370077,42.39986054000002,29.49000000000001,-0.0674373795761079,0.33013205282112845,-0.3687461395923409,"{""type"":""Point"",""coordinates"":[77.18797042042321,28.643248738160594]}"
10,17.668430283490352,1676.2344488188976,40.31828636,27.930000000000007,-0.10891903000411016,0.4408544726301736,-0.43092018032352164,"{""type"":""Point"",""coordinates"":[77.28820624226009,28.59320033112959]}"
