system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,21.906890634390038,1825.3564960629922,43.03903028000002,25.220000000000027,0.16075230660042583,0.20448179271708683,-0.3323943661971831,"{""type"":""Point"",""coordinates"":[77.67088823895064,12.94770293187321]}"
1,21.906890634390038,1569.0395669291338,42.047804480000025,25.07000000000005,0.0056292722155207075,0.3788681349316978,-0.504257907542579,"{""type"":""Point"",""coordinates"":[77.69012545698999,12.870356100739555]}"
2,21.901760864257824,1631.2620078740158,37.70008303999998,28.250000000000057,0.008152173913043478,0.24857468643101482,-0.30124777183600715,"{""type"":""Point"",""coordinates"":[77.57673330254448,12.907467140608372]}"
3,21.906890634390038,2027.0779527559055,40.89934976000001,25.470000000000027,0.166890781413417,0.24854455888938648,-0.41846858305774615,"{""type"":""Point"",""coordinates"":[77.68956590974382,12.884394710813162]}"
4,22.181694382887656,1468.2748031496062,39.07754510000001,27.310000000000002,-0.09690535351253671,0.4791349375571124,-0.5076063334368208,"{""type"":""Point"",""coordinates"":[77.58740040613272,13.061581894080224]}"
5,22.028686777750693,1739.7344488188976,39.32364254000004,25.000000000000057,0.015430937147158449,0.37575598211937944,-0.4083445491251682,"{""type"":""Point"",""coordinates"":[77.66788635026619,13.077861442575456]}"
6,21.90634932084521,2569.568110236221,43.44919268000001,28.07000000000005,0.06939100437839989,0.2387848816672554,-0.3411089866156788,"{""type"":""Point"",""coordinates"":[77.58591954809512,13.0088803543957]}"
7,22.29895782470703,1732.086811023622,41.07025076000002,28.32000000000005,-0.011116051578479324,0.21474358974358973,-0.2577433628318584,"{""type"":""Point"",""coordinates"":[77.51098296009823,13.05524050274156]}"
8,22.27262140909835,1824.811220472441,41.78461693999998,27.060000000000002,0.050062060405461316,0.1921079958463136,-0.23806956052844433,"{""type"":""Point"",""coordinates"":[77.50967995784292,13.027116352624327]}"
9,21.90634932084521,1689.9145669291338,38.12391752000002,28.230000000000018,0.04425971691754662,0.16452231042978374,-0.23019086176980913,"{""type"":""Point"",""coordinates"":[77.57559181170566,13.000918058327862]}"
