system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,19.66031417846682,2381.24281496063,51.13290164,26.390000000000043,0.1336606655755592,0.14068753206772705,-0.18104547386315342,"{""type"":""Point"",""coordinates"":[81.02955216071729,26.82281736899528]}"
1,19.72531673546996,2097.4682086614175,39.24161006000003,25.250000000000057,-0.06289764033180317,0.39543243814759993,-0.4612488928255093,"{""type"":""Point"",""coordinates"":[81.05054656708626,26.745463004678406]}"
2,19.65873031616212,1646.6734251968503,39.487707500000056,29.110000000000014,0.05002294630564479,0.1794871794871795,-0.22485207100591717,"{""type"":""Point"",""coordinates"":[80.92671437906955,26.782594103062074]}"
3,19.66751309908358,2044.811712598425,38.57167814000002,25.180000000000007,0.07359510933458735,0.359401955146636,-0.41421392677674085,"{""type"":""Point"",""coordinates"":[81.04994390860035,26.759501852210928]}"
4,19.528662618001306,1676.106496062992,39.016020740000044,28.150000000000034,0.03664459161147903,0.18393922951709168,-0.2507881914588707,"{""type"":""Point"",""coordinates"":[80.93835489655147,26.93670943535958]}"
5,19.411919472434306,2080.231988188976,38.48280962000001,25.370000000000005,-0.1278565967207544,0.3995361585494413,-0.4545852963733976,"{""type"":""Point"",""coordinates"":[81.02625028993845,26.952976904599165]}"
6,19.528662618001306,1448.7846456692912,38.851955780000026,30.230000000000018,2.4467824810374357E-4,0.29181157129307617,-0.3283485045513654,"{""type"":""Point"",""coordinates"":[80.9367706321897,26.884007856634497]}"
7,19.528662618001306,1904.4913385826774,40.84807946000001,24.910000000000025,-0.13507068642479986,0.5273894109557644,-0.5252918287937743,"{""type"":""Point"",""coordinates"":[80.85490599383326,26.930352153454482]}"
8,19.528662618001306,2094.1911417322835,38.91689816000002,26.100000000000023,-0.024790727623953637,0.3963588506251371,-0.4331382260243134,"{""type"":""Point"",""coordinates"":[80.85347948108983,26.902227500104278]}"
9,19.528662618001306,1694.8988188976375,40.48918736000002,30.07000000000005,0.06077812828601472,0.27490722238081644,-0.2971246006389776,"{""type"":""Point"",""coordinates"":[80.92550000288493,26.87604490566615]}"
10,19.66031417846682,1606.8732283464567,47.434604000000036,26.99000000000001,0.059,0.10010229431535876,-0.1475609756097561,"{""type"":""Point"",""coordinates"":[81.02412752428359,26.825998032604698]}"
