system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,18.966531372070335,1764.1478346456693,43.17404207000004,28.150000000000034,-0.050683371298405465,0.4000252940432528,-0.43282422987315555,"{""type"":""Point"",""coordinates"":[75.87070077876912,26.8885174444058]}"
1,19.159099085190746,2023.4519685039368,41.810252090000006,26.77000000000004,-0.07284878863826232,0.39269059754907276,-0.4584894946053379,"{""type"":""Point"",""coordinates"":[75.89170730495749,26.8111630407594]}"
2,19.04254744680304,2438.6872047244096,40.71477668,29.230000000000018,0.06988543371522095,0.09763399323998069,-0.15884991843393148,"{""type"":""Point"",""coordinates"":[75.76780319862853,26.848294244004208]}"
3,19.159099085190746,2188.8904527559057,47.381624690000024,26.870000000000005,0.11456424540057172,0.2787128188843019,-0.3883461671072291,"{""type"":""Point"",""coordinates"":[75.89110434041106,26.825201889509696]}"
4,18.723017182221326,2577.6178149606303,43.329561979999994,27.05000000000001,0.11743104930072662,0.1552464716710984,-0.18705338377469524,"{""type"":""Point"",""coordinates"":[75.7794504311239,27.00240957920876]}"
5,18.737014770507812,1353.7930118110237,40.405445869999994,25.690000000000055,0.1387813778613292,0.3563218390804598,-0.43161764705882355,"{""type"":""Point"",""coordinates"":[75.86739686698148,27.018676985354308]}"
6,18.927716282435824,2276.846161417323,43.05612038000004,28.74000000000001,0.09646848457755923,0.06851342778600127,-0.11091568649005167,"{""type"":""Point"",""coordinates"":[75.77786541891632,26.949708000329647]}"
7,18.473306274414085,2431.073523622047,45.99390857000003,24.950000000000045,0.05436647028115445,0.22678018575851394,-0.27245358755644755,"{""type"":""Point"",""coordinates"":[75.69595308616188,26.99605221435597]}"
8,18.473306274414085,2479.1015748031496,45.990490550000004,26.220000000000027,0.09508098380323936,0.13517072711880349,-0.2245560629122273,"{""type"":""Point"",""coordinates"":[75.69452572639122,26.967927558381206]}"
9,18.927716282435824,1776.9490157480313,43.266328610000016,28.74000000000001,0.023037228160707704,0.34389656483711495,-0.4122818702544292,"{""type"":""Point"",""coordinates"":[75.76658828568479,26.941745045956765]}"
10,18.966531372070335,2156.686712598425,42.898891460000016,28.170000000000016,0.0922658238960583,0.13079615048118984,-0.2031649988363975,"{""type"":""Point"",""coordinates"":[75.86527300329534,26.891698116750394]}"
11,18.723017182221326,1432.1975393700789,40.96600115000001,27.730000000000018,0.0835528395321884,0.41707396546106223,-0.4660374178324625,"{""type"":""Point"",""coordinates"":[75.83080261155173,26.955636515392783]}"
12,18.966531372070335,1668.649311023622,43.50559000999999,26.79000000000002,0.10305307656176609,0.31171864267069654,-0.4086751254057244,"{""type"":""Point"",""coordinates"":[75.90683846147817,26.91246267230835]}"
13,18.473306274414085,1479.1419291338584,45.46069745,26.250000000000057,0.10098176718092566,0.4096764059063776,-0.5049471742411538,"{""type"":""Point"",""coordinates"":[75.71953670436145,27.003844585337152]}"
14,18.91604142622515,2182.836811023622,47.16970745000003,26.510000000000048,0.11779711884753902,0.2367729041758704,-0.3311445714932639,"{""type"":""Point"",""coordinates"":[75.74047594955097,26.808869289902685]}"
15,19.159099085190746,1946.9642716535436,44.19432103999998,27.32000000000005,0.052938792055127686,0.3364603592266331,-0.44329132690882134,"{""type"":""Point"",""coordinates"":[75.87803152954562,26.833303201703774]}"
16,18.723017182221326,1467.9706692913387,42.69210125000001,26.110000000000014,0.14630623194387124,0.2986972217862188,-0.41945445187853836,"{""type"":""Point"",""coordinates"":[75.80101176318449,26.98975789606303]}"
17,18.473306274414085,1863.5149606299212,42.31611905,24.57000000000005,-0.06054888507718696,0.48987951807228913,-0.5097057746306922,"{""type"":""Point"",""coordinates"":[75.69147197129308,27.01927044287817]}"
18,18.91604142622515,2226.391437007874,50.517658040000015,25.100000000000023,0.16258417819877155,0.17740089480803245,-0.3083593479014915,"{""type"":""Point"",""coordinates"":[75.68593940662115,26.821740530346684]}"
19,18.72016522442857,2232.872244094488,44.92919533999998,27.650000000000034,0.11493725130088767,0.20116315297538684,-0.2950397491882208,"{""type"":""Point"",""coordinates"":[75.73240428553622,26.8529696283575]}"
20,18.737014770507812,2163.743307086614,41.940136850000044,26.410000000000025,0.06117889671764908,0.13966830082403253,-0.22846863053744096,"{""type"":""Point"",""coordinates"":[75.89218168499298,26.9644300139054]}"
21,18.473306274414085,2373.659153543307,45.08300624000003,26.230000000000018,0.08921847383385845,0.16002740530488402,-0.2402678945165341,"{""type"":""Point"",""coordinates"":[75.71801970633672,26.97903556421754]}"
22,18.927716282435824,1642.240846456693,41.646187130000044,28.090000000000032,0.027619559376679204,0.253185595567867,-0.3054393305439331,"{""type"":""Point"",""coordinates"":[75.83851905056173,26.944066328070466]}"
23,18.723017182221326,1620.7447834645668,41.44110593000005,27.53000000000003,0.09020999704229518,0.3169687455401741,-0.3903872231429863,"{""type"":""Point"",""coordinates"":[75.833523444749,26.965756868686466]}"
24,18.473306274414085,2279.0838582677166,44.26097243000004,25.29000000000002,0.08539255552080074,0.18632721371335836,-0.2861227182757862,"{""type"":""Point"",""coordinates"":[75.69318865554649,27.0128818961981]}"
25,18.966531372070335,1196.930807086614,41.47186811000006,28.510000000000048,0.13481593164970473,0.35152109911678114,-0.4496842105263158,"{""type"":""Point"",""coordinates"":[75.85476197800548,26.894999063173145]}"
26,18.72016522442857,2114.826968503937,46.75441802,25.83000000000004,0.12519060689234524,0.2513905551314211,-0.38792790613281725,"{""type"":""Point"",""coordinates"":[75.67810395767158,26.884665778159764]}"
27,19.04254744680304,2464.2246062992126,43.07491949000001,27.55000000000001,0.04090309338806627,0.209577516871591,-0.29071717470652064,"{""type"":""Point"",""coordinates"":[75.78397197995872,26.804940793257966]}"
28,18.723017182221326,1387.4903543307087,37.88123810000002,26.53000000000003,0.056776158364150536,0.457234078306167,-0.468088708312172,"{""type"":""Point"",""coordinates"":[75.8248071534887,26.978351864160107]}"
29,18.723017182221326,1381.9524606299212,39.21597491,27.190000000000055,0.06643007652212488,0.4100502512562814,-0.4541371566764553,"{""type"":""Point"",""coordinates"":[75.8102103097274,26.968024468083925]}"
30,18.966531372070335,2104.507086614173,42.79635086000002,27.470000000000027,0.07264,0.2675779114270093,-0.35199440167949614,"{""type"":""Point"",""coordinates"":[75.89477216264662,26.869191630321403]}"
31,18.723017182221326,2215.387992125984,46.80568832000006,27.010000000000048,0.005452402004126142,0.363021306674745,-0.4382525306339904,"{""type"":""Point"",""coordinates"":[75.80164766496455,26.95883611184878]}"
32,18.966531372070335,2174.8186023622047,43.620093680000025,28.07000000000005,0.10531350552221933,0.1317931793179318,-0.20836269673478977,"{""type"":""Point"",""coordinates"":[75.85575652478305,26.855820002260348]}"
33,18.72016522442857,2232.0941929133855,44.22337421000003,28.510000000000048,0.07999003239471716,0.15326947105372762,-0.2325840195860227,"{""type"":""Point"",""coordinates"":[75.71683846755903,26.922606408230937]}"
34,18.966531372070335,1528.3043307086614,42.72799046,28.510000000000048,0.06202060048213894,0.3028919330289193,-0.3617562838052816,"{""type"":""Point"",""coordinates"":[75.85844929633276,26.89325514724]}"
35,18.927716282435824,1874.1675196850392,41.31463918999998,29.630000000000052,-0.012022900763358779,0.2951520332152888,-0.3382965299684543,"{""type"":""Point"",""coordinates"":[75.8029535284315,26.87517078758729]}"
36,18.473306274414085,2680.2442913385826,44.58226631000002,26.510000000000048,0.09106678230702515,0.13358572201189833,-0.19079632610548244,"{""type"":""Point"",""coordinates"":[75.67540424700071,26.953237567880464]}"
