system:index,Air_Temp_Baseline,Albedo,LST_Day,LST_Night,NDBI,NDVI,NDWI,.geo
0,24.041129684448265,2148.3904527559057,47.74393481000004,31.190000000000055,0.06367988438262126,0.09949087823504454,-0.1810413580950211,"{""type"":""Point"",""coordinates"":[72.65219566797984,22.99861311881688]}"
1,24.165128102022095,1698.9470472440946,48.58476773000001,28.390000000000043,0.018611865063978286,0.360386992743886,-0.43034755580672507,"{""type"":""Point"",""coordinates"":[72.67255302900223,22.92126097152628]}"
2,24.035934315557085,2210.145374015748,53.53918772000003,29.53000000000003,0.12302944365668529,0.1438207136640557,-0.23592335723521807,"{""type"":""Point"",""coordinates"":[72.5525019084365,22.958386161193097]}"
3,24.165128102022095,1567.246751968504,45.6230534,28.640000000000043,-0.13118492811105603,0.6108443942389156,-0.6147204529370135,"{""type"":""Point"",""coordinates"":[72.67196637245814,22.935299749906893]}"
4,23.90355904319074,1852.6886811023624,45.308595560000015,31.49000000000001,-0.04647128640555099,0.38664408420033874,-0.44212380473074986,"{""type"":""Point"",""coordinates"":[72.56378948054447,23.112501327512803]}"
5,23.90355904319074,1684.1906496062993,44.086653410000054,29.07000000000005,-0.13226086118871014,0.5417103882476391,-0.5411039727284647,"{""type"":""Point"",""coordinates"":[72.64900135263069,23.128772353210707]}"
6,23.90355904319074,1676.4568897637794,45.47436952999999,32.43000000000001,0.050185013876040706,0.13312180990481445,-0.20634454398590102,"{""type"":""Point"",""coordinates"":[72.5622441854517,23.05979975856093]}"
7,23.90883869371919,1855.5902559055119,46.87404872000002,29.590000000000032,0.00899332753118654,0.24929903693770572,-0.3305634900025967,"{""type"":""Point"",""coordinates"":[72.4828873581613,23.106148721758114]}"
8,23.90883869371919,2049.8845472440944,52.47105647000001,29.440000000000055,0.09801439759512696,0.271551243448199,-0.38811784757730705,"{""type"":""Point"",""coordinates"":[72.48150541462394,23.078024216466886]}"
9,23.90355904319074,1560.6685039370077,47.438022020000005,32.35000000000002,0.055121951219512196,0.15521097360966155,-0.22575541844644834,"{""type"":""Point"",""coordinates"":[72.55131541210184,23.051836999654224]}"
